Year      Month     Day       SimDay    Season    GDD            TotGDD         Zr             CC             CCPot          Bio            BioPot         HI             HIadj          Yield          
2010      6         6         37        1         14.09          280.84         0.76           0.04           0.06           19.25          23.70          0.00           0.00           0.00           
2010      6         7         38        1         13.93          294.77         0.78           0.05           0.07           22.51          28.12          0.00           0.00           0.00           
2010      6         8         39        1         12.00          306.76         0.80           0.06           0.08           26.16          33.11          0.00           0.00           0.00           
2010      6         9         40        1         13.87          320.63         0.83           0.07           0.10           30.50          39.12          0.00           0.00           0.00           
2010      6         10        41        1         15.34          335.97         0.85           0.08           0.12           35.65          46.31          0.00           0.00           0.00           
2010      6         11        42        1         11.98          347.95         0.87           0.10           0.14           41.47          54.40          0.00           0.00           0.00           
2010      6         12        43        1         6.98           354.93         0.88           0.11           0.15           45.64          60.17          0.00           0.00           0.00           
2010      6         13        44        1         6.19           361.12         0.90           0.12           0.16           49.24          65.16          0.00           0.00           0.00           
2010      6         14        45        1         8.71           369.83         0.91           0.13           0.18           55.74          74.13          0.00           0.00           0.00           
2010      6         15        46        1         11.00          380.83         0.93           0.15           0.21           64.11          85.62          0.00           0.00           0.00           
2010      6         16        47        1         13.00          393.82         0.95           0.17           0.25           74.19          99.39          0.00           0.00           0.00           
2010      6         17        48        1         13.64          407.46         0.97           0.21           0.29           85.92          115.29         0.00           0.00           0.00           
2010      6         18        49        1         13.44          420.90         0.99           0.24           0.35           99.47          133.55         0.00           0.00           0.00           
2010      6         19        50        1         13.23          434.13         1.01           0.29           0.41           115.08         154.35         0.00           0.00           0.00           
2010      6         20        51        1         12.19          446.32         1.03           0.33           0.48           132.77         177.68         0.00           0.00           0.00           
2010      6         21        52        1         13.46          459.79         1.05           0.40           0.55           153.00         203.51         0.00           0.00           0.00           
2010      6         22        53        1         14.27          474.06         1.07           0.47           0.61           176.18         231.40         0.00           0.00           0.00           
2010      6         23        54        1         12.06          486.12         1.09           0.54           0.66           201.73         260.68         0.00           0.00           0.00           
2010      6         24        55        1         12.89          499.01         1.11           0.60           0.70           229.31         291.17         0.00           0.00           0.00           
2010      6         25        56        1         15.09          514.11         1.13           0.66           0.74           258.68         322.81         0.00           0.00           0.00           
2010      6         26        57        1         15.06          529.17         1.16           0.71           0.78           289.48         355.37         0.00           0.00           0.00           
2010      6         27        58        1         13.11          542.28         1.18           0.75           0.80           321.28         388.58         0.00           0.00           0.00           
2010      6         28        59        1         13.06          555.34         1.20           0.78           0.82           353.85         422.33         0.00           0.00           0.00           
2010      6         29        60        1         13.29          568.63         1.22           0.80           0.84           387.05         456.54         0.00           0.00           0.00           
2010      6         30        61        1         13.26          581.89         1.23           0.82           0.86           420.74         491.13         0.00           0.00           0.00           
2010      7         1         62        1         13.71          595.61         1.25           0.84           0.87           454.85         526.06         0.00           0.00           0.00           
2010      7         2         63        1         16.48          612.09         1.28           0.86           0.88           489.43         561.31         0.00           0.00           0.00           
2010      7         3         64        1         15.81          627.90         1.30           0.87           0.89           524.38         596.82         0.00           0.00           0.00           
2010      7         4         65        1         11.66          639.56         1.32           0.88           0.90           558.73         631.59         0.00           0.00           0.00           
2010      7         5         66        1         13.79          653.35         1.34           0.89           0.91           594.23         667.41         0.00           0.00           0.00           
2010      7         6         67        1         12.80          666.14         1.36           0.90           0.91           629.93         703.36         0.00           0.00           0.00           
2010      7         7         68        1         9.24           675.38         1.37           0.91           0.91           661.71         735.30         0.00           0.00           0.00           
2010      7         8         69        1         11.11          686.49         1.38           0.91           0.92           696.39         770.09         0.00           0.00           0.00           
2010      7         9         70        1         12.22          698.71         1.40           0.92           0.92           732.52         806.27         0.00           0.00           0.00           
2010      7         10        71        1         13.59          712.29         1.42           0.92           0.92           768.76         842.54         0.00           0.00           0.00           
2010      7         11        72        1         13.62          725.91         1.44           0.93           0.93           805.10         878.88         0.00           0.00           0.00           
2010      7         12        73        1         14.66          740.58         1.46           0.93           0.93           841.53         915.31         0.00           0.00           0.00           
2010      7         13        74        1         13.77          754.35         1.48           0.93           0.93           878.02         951.80         0.00           0.00           0.00           
2010      7         14        75        1         15.78          770.13         1.50           0.94           0.94           914.57         988.35         0.00           0.00           0.00           
2010      7         15        76        1         14.18          784.31         1.52           0.94           0.94           951.18         1024.95        0.00           0.00           0.00           
2010      7         16        77        1         14.20          798.51         1.54           0.94           0.94           987.72         1061.60        0.00           0.00           0.00           
2010      7         17        78        1         14.77          813.28         1.56           0.96           0.96           1024.52        1098.59        0.00           0.00           0.00           
2010      7         18        79        1         16.24          829.52         1.58           0.96           0.96           1061.23        1135.61        0.00           0.00           0.00           
2010      7         19        80        1         15.55          845.07         1.60           0.96           0.96           1097.86        1172.64        0.00           0.00           0.00           
2010      7         20        81        1         15.59          860.66         1.62           0.96           0.96           1134.40        1209.69        0.00           0.00           0.00           
2010      7         21        82        1         15.95          876.61         1.64           0.96           0.96           1170.85        1246.75        0.00           0.00           0.00           
2010      7         22        83        1         15.75          892.36         1.66           0.96           0.96           1207.21        1283.82        0.00           0.00           0.00           
2010      7         23        84        1         15.00          907.36         1.68           0.96           0.96           1243.47        1320.89        0.00           0.00           0.00           
2010      7         24        85        1         13.70          921.05         1.70           0.96           0.96           1279.64        1357.98        0.00           0.00           0.00           
2010      7         25        86        1         13.36          934.41         1.72           0.96           0.96           1315.71        1395.06        0.00           0.00           0.00           
2010      7         26        87        1         14.14          948.55         1.73           0.96           0.96           1351.68        1432.15        0.01           0.02           0.20           
2010      7         27        88        1         14.90          963.45         1.75           0.96           0.96           1387.56        1469.25        0.02           0.02           0.24           
2010      7         28        89        1         15.55          979.00         1.77           0.96           0.96           1423.33        1505.02        0.02           0.02           0.28           
2010      7         29        90        1         17.06          996.07         1.80           0.96           0.96           1459.00        1540.69        0.02           0.02           0.33           
2010      7         30        91        1         15.39          1011.46        1.82           0.96           0.96           1494.57        1576.26        0.03           0.03           0.38           
2010      7         31        92        1         14.20          1025.66        1.83           0.96           0.96           1530.03        1611.72        0.03           0.03           0.44           
2010      8         1         93        1         16.05          1041.71        1.85           0.96           0.96           1565.40        1647.09        0.03           0.03           0.51           
2010      8         2         94        1         16.34          1058.05        1.87           0.96           0.96           1600.66        1682.35        0.04           0.04           0.59           
2010      8         3         95        1         15.95          1073.99        1.89           0.96           0.96           1635.82        1717.51        0.04           0.04           0.69           
2010      8         4         96        1         15.61          1089.60        1.91           0.96           0.96           1670.89        1752.58        0.05           0.05           0.80           
2010      8         5         97        1         14.57          1104.17        1.93           0.96           0.96           1705.84        1787.53        0.05           0.05           0.92           
2010      8         6         98        1         14.25          1118.42        1.95           0.96           0.96           1740.70        1822.39        0.06           0.06           1.06           
2010      8         7         99        1         15.39          1133.81        1.97           0.96           0.96           1775.46        1857.15        0.07           0.07           1.21           
2010      8         8         100       1         15.26          1149.07        1.99           0.96           0.96           1810.11        1891.80        0.08           0.08           1.39           
2010      8         9         101       1         15.84          1164.92        2.01           0.96           0.96           1844.66        1926.35        0.08           0.09           1.58           
2010      8         10        102       1         15.09          1180.01        2.03           0.96           0.96           1879.11        1960.80        0.09           0.10           1.80           
2010      8         11        103       1         13.84          1193.86        2.04           0.96           0.96           1913.46        1995.15        0.10           0.11           2.02           
2010      8         12        104       1         14.73          1208.59        2.06           0.96           0.96           1947.71        2029.40        0.11           0.12           2.25           
2010      8         13        105       1         13.64          1222.23        2.08           0.96           0.96           1981.85        2063.54        0.12           0.13           2.49           
2010      8         14        106       1         12.25          1234.49        2.09           0.96           0.96           2015.90        2097.59        0.13           0.14           2.74           
2010      8         15        107       1         11.14          1245.63        2.11           0.96           0.96           2048.62        2130.31        0.14           0.15           2.98           
2010      8         16        108       1         13.21          1258.84        2.12           0.96           0.96           2082.46        2164.15        0.15           0.16           3.24           
2010      8         17        109       1         13.07          1271.92        2.14           0.96           0.96           2116.20        2197.89        0.16           0.17           3.51           
2010      8         18        110       1         13.82          1285.73        2.15           0.96           0.96           2149.84        2231.53        0.17           0.18           3.78           
2010      8         19        111       1         14.90          1300.63        2.17           0.96           0.96           2183.37        2265.06        0.18           0.19           4.05           
2010      8         20        112       1         14.34          1314.97        2.19           0.96           0.96           2216.81        2298.50        0.19           0.20           4.34           
2010      8         21        113       1         12.73          1327.70        2.20           0.96           0.96           2250.14        2331.83        0.20           0.21           4.63           
2010      8         22        114       1         13.39          1341.09        2.22           0.96           0.96           2280.84        2365.06        0.21           0.22           4.92           
2010      8         23        115       1         13.38          1354.47        2.24           0.96           0.96           2313.96        2398.19        0.22           0.23           5.22           
2010      8         24        116       1         9.42           1363.89        2.25           0.96           0.96           2343.59        2427.83        0.23           0.24           5.52           
2010      8         25        117       1         11.27          1375.16        2.26           0.96           0.96           2372.11        2459.68        0.24           0.25           5.82           
2010      8         26        118       1         11.00          1386.16        2.27           0.96           0.96           2397.67        2491.21        0.25           0.26           6.12           
2010      8         27        119       1         11.00          1397.16        2.29           0.96           0.96           2419.83        2522.65        0.26           0.26           6.41           
2010      8         28        120       1         12.60          1409.76        2.30           0.95           0.95           2440.98        2554.99        0.27           0.27           6.70           
2010      8         29        121       1         16.05          1425.81        2.30           0.94           0.94           2461.81        2586.73        0.28           0.28           6.99           
2010      8         30        122       1         15.16          1440.97        2.30           0.93           0.93           2482.80        2617.79        0.29           0.29           7.29           
2010      8         31        123       1         13.28          1454.25        2.30           0.92           0.92           2502.13        2648.20        0.30           0.30           7.58           
2010      9         1         124       1         10.81          1465.06        2.30           0.91           0.91           2522.48        2676.68        0.31           0.31           7.89           
2010      9         2         125       1         7.67           1472.73        2.30           0.91           0.91           2535.92        2698.36        0.32           0.32           8.17           
2010      9         3         126       1         8.88           1481.61        2.30           0.90           0.90           2551.80        2723.08        0.33           0.33           8.47           
2010      9         4         127       1         11.00          1492.61        2.30           0.88           0.88           2567.52        2749.93        0.34           0.34           8.76           
2010      9         5         128       1         11.94          1504.55        2.30           0.87           0.87           2581.17        2776.40        0.35           0.35           9.05           
2010      9         6         129       1         7.08           1511.63        2.30           0.86           0.86           2590.47        2793.85        0.36           0.36           9.33           
2010      9         7         130       1         9.48           1521.11        2.30           0.84           0.84           2602.22        2816.90        0.37           0.37           9.61           
2010      9         8         131       1         15.57          1536.68        2.30           0.81           0.81           2616.33        2841.01        0.38           0.38           9.91           
2010      9         9         132       1         12.62          1549.30        2.30           0.79           0.79           2630.73        2863.76        0.39           0.39           10.21          
2010      9         10        133       1         12.45          1561.75        2.30           0.76           0.76           2640.89        2885.03        0.40           0.40           10.49          
2010      9         11        134       1         10.30          1572.04        2.30           0.73           0.73           2649.84        2903.75        0.41           0.41           10.77          
2010      9         12        135       1         11.08          1583.12        2.30           0.69           0.69           2657.92        2921.44        0.42           0.42           11.05          
2010      9         13        136       1         11.00          1594.12        2.30           0.66           0.66           2665.18        2937.49        0.43           0.42           11.32          
2010      9         14        137       1         10.90          1605.02        2.30           0.62           0.62           2671.95        2951.80        0.44           0.43           11.59          
2010      9         15        138       1         12.42          1617.44        2.30           0.56           0.56           2677.20        2964.58        0.45           0.44           11.86          
2010      9         16        139       1         11.10          1628.54        2.30           0.51           0.51           2681.39        2974.91        0.46           0.45           12.11          
2010      9         17        140       1         11.66          1640.20        2.30           0.45           0.45           2684.80        2983.18        0.47           0.46           12.37          
2010      9         18        141       1         3.60           1643.80        2.30           0.42           0.42           2685.52        2984.42        0.48           0.47           12.63          
2010      9         19        142       1         7.47           1651.28        2.30           0.38           0.38           2687.71        2988.93        0.48           0.47           12.64          
2010      9         20        143       1         11.00          1662.28        2.30           0.30           0.30           2690.40        2992.98        0.48           0.47           12.65          
2010      9         21        144       1         9.73           1672.00        2.30           0.23           0.23           2691.60        2995.28        0.48           0.47           12.65          
2010      9         22        145       1         14.50          1686.50        2.30           0.10           0.10           2692.13        2995.83        0.48           0.47           12.66          
2010      9         23        146       1         8.23           1694.73        2.30           0.03           0.03           2692.16        2995.86        0.48           0.47           12.66          
2010      9         24        147       1         10.92          1705.65        2.30           0.00           0.00           2692.16        2995.86        0.48           0.47           12.66          
2010      9         25        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      9         26        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      9         27        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      9         28        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      9         29        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      9         30        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        1         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        2         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        3         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        4         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        5         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        6         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        7         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        8         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        9         -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        10        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        11        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        12        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        13        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        14        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        15        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        16        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        17        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        18        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        19        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        20        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        21        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        22        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        23        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        24        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        25        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        26        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        27        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        28        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        29        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
2010      10        30        -999      0         -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        -999.00        
